City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Beyneu,KZ,2021-10-31 18:10:35,45.3167,55.2,51.35,60,0,6.31
98,Neiafu,TO,2021-10-31 18:10:36,-18.65,-173.9833,77.68,78,40,10.36
99,Richards Bay,ZA,2021-10-31 18:10:36,-28.783,32.0377,65.88,87,0,3.04
100,Vagur,FO,2021-10-31 18:06:14,61.4732,-6.8119,45.99,66,96,7.27
101,Okhotsk,RU,2021-10-31 18:10:38,59.3833,143.3,9.52,72,0,16.4
102,Husavik,IS,2021-10-31 18:10:38,66.0449,-17.3389,33.71,99,100,23.94
103,Saint-Philippe,RE,2021-10-31 18:10:39,-21.3585,55.7679,72.99,81,23,6.8
104,Sechura,PE,2021-10-31 18:10:39,-5.5569,-80.8222,78.84,53,35,12.17
105,Chokurdakh,RU,2021-10-31 18:10:40,70.6333,147.9167,-12.3,100,100,5.61
106,Aloleng,PH,2021-10-31 18:10:40,16.1307,119.7824,78.1,74,16,6.29
107,Williamsport,US,2021-10-31 18:10:41,41.2412,-77.0011,60.75,67,90,4.0
108,San Lawrenz,MT,2021-10-31 18:10:41,36.0553,14.204,67.86,88,100,3.0
109,Zapolyarnyy,RU,2021-10-31 18:10:41,69.4154,30.8136,25.88,92,69,7.09
110,Salalah,OM,2021-10-31 18:09:35,17.0151,54.0924,78.89,47,0,3.44
111,Kharp,RU,2021-10-31 18:10:42,66.8014,65.8081,4.48,77,13,6.69
112,Along,IN,2021-10-31 18:10:42,28.1667,94.7667,59.22,91,33,1.79
113,Honiara,SB,2021-10-31 18:10:43,-9.4333,159.95,77.41,87,60,5.84
114,Jumla,NP,2021-10-31 18:10:43,29.2747,82.1838,42.66,65,4,4.27
115,Verkhoturye,RU,2021-10-31 18:10:44,58.8627,60.8054,38.89,94,100,9.69
116,Shache,CN,2021-10-31 18:10:44,38.4167,77.2406,49.68,29,100,5.12
117,Arraial Do Cabo,BR,2021-10-31 18:10:45,-22.9661,-42.0278,71.46,94,75,11.5
118,Nago,JP,2021-10-31 18:10:46,26.5881,127.9761,73.47,78,24,7.81
119,Yellowknife,CA,2021-10-31 18:08:58,62.456,-114.3525,30.42,97,90,5.75
120,Dunedin,NZ,2021-10-31 18:10:46,-45.8742,170.5036,48.79,60,60,4.0
121,Souillac,MU,2021-10-31 18:10:46,-20.5167,57.5167,73.36,76,16,5.14
122,Opuwo,NA,2021-10-31 18:10:47,-18.0607,13.84,78.08,17,29,15.39
123,Cortez,US,2021-10-31 18:10:47,37.3489,-108.5859,61.7,32,1,8.05
124,Panorama,GR,2021-10-31 18:10:48,40.5878,23.0315,53.53,70,20,1.01
125,Saint-Augustin,CA,2021-10-31 18:10:48,51.226,-58.6502,49.62,59,90,6.29
126,Sangar,RU,2021-10-31 18:10:49,63.9242,127.4739,8.01,89,100,16.08
